State,CountyName,Tract_FIPS,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
CT,Hartford,9003503900,Yes,5343,20.3,1083,2.6,139,3.2,57,5.4,289,2.6,140
CT,Hartford,9003510500,Yes,3300,19.6,646,1.6,52,1.8,26,4.3,141,3.1,103
CT,Hartford,9003510800,Yes,3134,24.1,756,2,62,3.3,49,3,93,7,218
CT,Hartford,9003511200,Yes,3326,52.5,1747,6.1,202,5.5,68,16.3,542,7,232
CT,Hartford,9003511300,Yes,3447,29.4,1015,2.5,83,3.3,46,7.7,265,3.7,127
CT,Hartford,9003514200,Yes,2877,63.1,1815,6.5,188,10.2,135,13.3,382,8.8,254
CT,Hartford,9003514800,Yes,3414,100,3414,9,308,9.9,133,27.9,953,10.7,366
CT,Litchfield,9005310801,Yes,2426,22,534,2.7,65,1.8,19,4.4,107,3.4,83
CT,New Haven,9009120200,Yes,6040,11.5,697,0.8,47,0.5,12,2.1,126,3.4,208
CT,New Haven,9009125200,Yes,5625,36.1,2033,3,169,2.8,65,8.9,502,4.6,257
CT,New Haven,9009125300,Yes,5147,16.2,836,1.4,72,1.7,36,3.7,192,2.4,122
CT,New Haven,9009125400,Yes,3227,100,3227,6.6,214,14.1,193,24.1,778,17.1,553
CT,New Haven,9009141300,Yes,5313,49.2,2612,25.2,1001,19.2,332,15.7,835,3,159
CT,New Haven,9009142601,Yes,5277,40.8,2153,3.9,206,3.6,75,11.1,585,2,104
CT,New Haven,9009142700,Yes,5529,49.9,2760,8.7,480,11.3,252,13.3,738,5.2,290
CT,New Haven,9009142800,Yes,4637,100,4637,6.6,306,8.4,166,17.9,830,20,928
CT,New Haven,9009154100,Yes,7672,40.7,3126,3.6,278,3.8,110,9.9,758,5.1,390
CT,New Haven,9009155000,Yes,5032,36.2,1820,1.5,77,4.5,96,9.7,489,4.6,231
CT,New Haven,9009171300,Yes,3604,22.7,819,1.7,59,1.2,18,5.1,183,4.8,172
CT,New Haven,9009171500,Yes,3524,34.4,1212,4.8,167,4.1,51,9.6,337,2.5,89
CT,New Haven,9009175200,Yes,2279,44.2,1007,1.2,28,2.3,25,10.8,247,4.2,95
CT,New Haven,9009175400,Yes,4012,39.8,1596,5.4,215,3.4,58,9,360,4.5,179
CT,New Haven,9009180200,Yes,5226,23.2,1212,1,51,1.8,41,4.6,238,4.5,235
CT,New Haven,9009351500,Yes,4821,45.9,2212,5.6,269,7,131,11.7,562,7.4,356
CT,New Haven,9009351800,Yes,4404,57.7,2542,3.6,145,3.7,69,10.8,478,9.5,420
CT,New Haven,9009352100,Yes,4137,33.7,1393,5.4,211,3.6,59,9.5,392,4.7,194
CT,New Haven,9009352200,Yes,2598,55.1,1432,18.5,470,14.2,122,24.2,630,2.9,74
CT,New Haven,9009352300,Yes,2736,21.3,582,2.5,69,3.4,38,5.2,142,2.5,68
CT,New Haven,9009352400,Yes,3426,100,3426,12.7,421,16.4,197,31.6,1083,9.7,334
CT,New Haven,9009352800,Yes,5727,33.4,1914,2.8,160,4.3,101,11.4,650,2.4,136
CT,New London,9011696100,Yes,4519,64.2,2903,7.8,350,6.7,130,14.3,646,11.5,520
CT,New London,9011696700,Yes,5579,26,1453,3.7,204,4.6,108,7,393,2.6,144
CT,New London,9011697000,Yes,4393,62.5,2743,7.6,314,6.7,124,12.6,555,10.2,446
CT,New London,9011702500,Yes,4618,72.5,3346,9.5,439,7.4,152,19.3,892,7.5,345
CT,New London,9011709200,Yes,5102,63.9,3263,4.6,231,2.6,56,15.3,780,9.3,476
CT,Tolland,9013530200,Yes,6278,100,6278,12.1,748,12.1,325,26.3,1649,10.8,679
CT,Tolland,9013881300,Yes,4498,21.8,980,3.8,153,1.5,24,5.6,251,2.4,109
CT,Windham,9015904500,Yes,5886,46.7,2747,4.2,235,3.3,74,11.4,669,5.7,337
DE,Kent,10001040201,Yes,3477,52.1,1811,3,102,2.4,32,14.4,499,6.7,232
DE,Kent,10001042201,Yes,6079,99.1,6025,10.9,660,6.6,136,34.2,2080,6.7,405
DE,Kent,10001043000,Yes,4490,51.9,2333,8.1,362,4.9,86,15,672,7.3,326
DE,New Castle,10003000500,Yes,3743,100,3743,16.9,628,21.3,283,31.3,1171,7.2,269
DE,New Castle,10003000601,Yes,2704,100,2704,25.3,654,21.4,190,28.6,773,11.3,305
DE,New Castle,10003000602,Yes,3129,100,3129,25.8,817,38.7,481,26.4,827,15.1,472
DE,New Castle,10003000700,Yes,1668,100,1668,61.3,1086,65,340,50.5,842,4.1,68
DE,New Castle,10003000800,Yes,2425,100,2425,39.6,194,39.8,68,7.5,182,1.8,44
DE,New Castle,10003001900,Yes,1840,94.1,1732,39.1,649,47.1,299,38.9,716,6.1,113
DE,New Castle,10003010700,Yes,5253,100,5253,16.8,877,12.4,274,28.6,1502,10.1,532
DE,New Castle,10003014905,Yes,8464,20.5,1736,2.4,207,1.2,42,6.3,535,1,88
DE,New Castle,10003015400,Yes,3230,100,3230,9.9,328,8.3,90,28.5,920,15.8,511
DE,New Castle,10003015500,Yes,2727,90,2454,11.5,307,14.9,149,26.1,711,11,301
DE,New Castle,10003015600,Yes,2411,68.3,1648,4.5,103,3.1,27,17.7,428,8.4,202
DE,Sussex,10005050702,Yes,9259,77,7131,4.6,420,2.8,116,12.1,1123,23.2,2148
DC,District of Columbia,11001007806,Yes,2133,100,2133,17.7,371,34.2,302,24.5,523,12.9,276
DC,District of Columbia,11001007809,Yes,2667,100,2667,22.5,577,34.8,385,24.4,652,12.7,339
DC,District of Columbia,11001009000,Yes,2263,100,2263,24.2,569,42,616,13.6,307,35.4,801
DC,District of Columbia,11001009101,Yes,4827,24,1159,4.3,205,4.4,75,4.4,211,6,291
DC,District of Columbia,11001009501,Yes,5264,100,5264,15.6,547,35.1,621,12.7,666,8.3,436
DC,District of Columbia,11001009504,Yes,3353,100,3353,13.1,424,21.1,278,17.9,601,17.6,589
DC,District of Columbia,11001009601,Yes,2343,100,2343,28.4,673,34.9,252,39,914,10.5,247
DC,District of Columbia,11001009602,Yes,3106,100,3106,32.6,1001,48.8,643,35.9,1115,6.8,211
DC,District of Columbia,11001009809,Yes,723,100,723,77.8,252,0,0,3.5,25,11.9,86
FL,Alachua,12001000400,Yes,5895,55.3,3262,15.1,882,7.9,172,19.8,1166,3.8,225
FL,Alachua,12001000600,Yes,3643,60.2,2192,24.7,898,10.8,137,22.6,822,6.7,244
FL,Alachua,12001000700,Yes,7455,37.1,2766,11.3,840,6.5,169,13.4,998,2.6,195
FL,Alachua,12001000800,Yes,8439,30.9,2609,16.2,1325,2,80,1.8,150,0.7,61
FL,Alachua,12001000902,Yes,6090,12.8,779,32,121,7.5,14,0.2,12,0.5,31
FL,Alachua,12001001501,Yes,8135,21.2,1721,9.7,781,2.5,101,1.8,147,1,78
FL,Alachua,12001001504,Yes,655,100,655,24,147,2.7,7,20.2,132,14.4,94
FL,Alachua,12001001600,Yes,7225,61.3,4429,21.5,1520,3.8,129,5.1,370,4.9,351
FL,Alachua,12001001902,Yes,3443,91.3,3144,28.3,657,7.5,59,21.6,743,6.6,229
FL,Alachua,12001002206,Yes,6365,64.6,4115,20.5,1292,6.9,202,16.4,1045,2.1,136
FL,Bay,12005000300,No,6988,47.7,3331,11.4,719,2.9,67,13,907,4.6,321
FL,Bay,12005001200,Yes,2815,100,2815,21.5,603,9.6,110,28.8,810,10.1,285
FL,Bay,12005001600,Yes,3760,21.9,824,7.8,266,6.5,98,6,226,3.4,130
FL,Bay,12005002200,Yes,4098,23.4,961,5.6,224,2.1,38,3.7,151,6.6,270
FL,Bay,12005002400,Yes,4395,11.8,518,2.5,107,1.7,32,3,133,1.2,52
FL,Brevard,12009060400,Yes,4655,39.8,1851,7.7,328,2.1,37,7.8,365,11.9,555
FL,Brevard,12009060900,Yes,3124,100,3124,15,464,7.5,113,19.4,606,21.6,676
FL,Brevard,12009062102,Yes,6668,46.4,3097,8.4,559,2.4,68,9.6,638,9.4,624
FL,Brevard,12009062400,Yes,6361,40.3,2566,8.3,524,1.8,45,11.4,724,4,255
FL,Brevard,12009062500,Yes,3945,100,3945,20.3,794,5.4,91,22.5,887,21.5,850
FL,Brevard,12009064200,Yes,5583,100,5583,12.6,695,10.8,310,15.9,885,21.7,1212
FL,Brevard,12009064700,Yes,5334,18,962,1.5,61,0.6,12,3.7,199,3.7,195
FL,Brevard,12009064800,Yes,2493,48.5,1209,7.8,195,8.1,106,8.2,204,9.4,233
FL,Brevard,12009064902,Yes,3622,100,3622,29.7,979,17,266,19.4,701,18.4,668
FL,Brevard,12009065101,Yes,6473,12.9,837,4.5,279,1.9,58,4.1,266,2.1,134
FL,Brevard,12009065121,Yes,6274,14,879,1.3,79,0.4,10,3.5,222,2.1,133
FL,Brevard,12009065122,Yes,6241,9.7,605,1.6,98,0.4,12,1.7,109,3.1,194
FL,Brevard,12009065123,Yes,4048,79.4,3213,16.2,653,7.1,130,17.3,698,15.1,611
FL,Brevard,12009065201,Yes,5565,100,5565,8.2,456,6.4,157,20.2,1126,26.2,1460
FL,Broward,12011020305,Yes,10162,26.8,2723,3.9,379,3.5,142,6.4,655,3.1,320
FL,Broward,12011020409,Yes,6973,100,6973,6.6,461,7.5,291,7.5,523,60.8,4240
FL,Broward,12011030401,Yes,3295,19.8,652,4.7,150,2.7,26,5.8,191,4.1,137
FL,Broward,12011030500,Yes,3750,46.4,1742,18.2,675,7.3,93,15.7,587,3.6,134
FL,Broward,12011030600,Yes,6873,20.3,1396,0.6,29,0.1,2,0.4,26,0.2,13
FL,Broward,12011030703,Yes,4163,100,4163,6.6,267,3.3,74,6.8,284,47.2,1967
FL,Broward,12011030801,Yes,6659,25.4,1693,8.9,550,5.8,140,6.2,415,6.1,409
FL,Broward,12011041000,Yes,2895,40.3,1166,10,287,5.4,52,12.7,367,8.3,242
FL,Broward,12011041200,Yes,4244,41.2,1748,14.4,607,8.9,116,15.9,676,4.1,176
FL,Broward,12011042700,Yes,5344,63.4,3389,12.9,687,12.7,305,14.5,773,4.2,227
FL,Broward,12011050202,Yes,9140,45.2,4127,7.7,626,2.3,82,6.7,614,3.8,349
FL,Broward,12011050308,Yes,3458,35,1211,12,421,4.3,47,11.8,407,3.3,115
FL,Broward,12011050800,Yes,4357,100,4357,21.9,951,9.6,139,27.7,1206,12.9,562
FL,Broward,12011060205,Yes,8167,20.7,1688,1.8,147,2.2,92,4.2,342,4.8,396
FL,Broward,12011070101,Yes,9024,51.7,4669,8.9,795,5.5,199,11.8,1064,6.5,589
FL,Broward,12011080403,Yes,5049,34.5,1744,5.7,283,2.3,45,8.8,445,3.3,167
FL,Broward,12011091400,Yes,5254,29.1,1531,5.1,267,5.9,110,7.3,385,5.2,274
FL,Broward,12011091600,Yes,5134,100,5134,15.8,776,18.7,589,5.6,287,56,2873
FL,Broward,12011100600,Yes,5143,100,5143,15.4,788,5.3,85,30,1543,9.5,489
FL,Broward,12011100700,Yes,5232,100,5232,25.9,1339,14.5,244,30.9,1617,12.8,672
FL,Broward,12011100802,Yes,6685,50.2,3354,10.3,685,11.8,274,18.8,1255,3.5,235
FL,Calhoun,12013990200,No,3143,36.6,1151,5.9,186,3.9,48,10.3,323,5,156
FL,Charlotte,12015010300,Yes,7024,17.1,1204,2.6,179,1.9,64,1.9,135,7,489
FL,Charlotte,12015020800,Yes,4395,69.6,3060,12.8,555,6,119,15.7,691,16.9,742
FL,Citrus,12017980200,Yes,8317,27.3,2270,3.1,255,2.1,91,2.5,205,15.5,1291
FL,Clay,12019031400,Yes,4611,100,4611,22.7,954,14.4,238,25.5,1174,15.9,735
FL,Collier,12021010410,Yes,6469,61.6,3987,6.9,440,1.6,32,17,1098,3,194
FL,Collier,12021010411,Yes,6102,12.8,783,0.6,38,0.2,5,2.5,153,3.1,188
FL,Collier,12021010601,Yes,2601,44.6,1159,3.4,85,0.9,9,9.7,251,7.1,185
FL,Collier,12021010802,Yes,6612,92.1,6089,21.1,1373,7.8,139,28.2,1864,7,464
FL,Collier,12021011102,No,4213,44.8,1888,3.3,137,2.5,41,6.9,290,10.3,433
FL,Collier,12021011205,Yes,3464,81.4,2819,43.5,1458,12.2,117,35.4,1228,2,69
FL,Columbia,12023990300,No,6826,7.4,503,2.3,112,0.7,14,1.7,116,0.9,61
FL,Columbia,12023990900,No,12455,28.6,3563,4.4,546,1.7,79,8,995,3.2,404
FL,Dixie,12029980200,No,3675,23.9,879,3.7,135,2.3,35,3.6,133,6.9,254
FL,Duval,12031000200,Yes,2676,34.2,915,11.8,317,8.8,87,11.8,316,4.5,121
FL,Duval,12031000300,Yes,2837,25.9,736,9.8,276,4.6,44,7.9,224,1.9,53
FL,Duval,12031000400,Yes,2452,100,2452,39.7,960,47.7,445,31.9,782,13.4,329
FL,Duval,12031000500,Yes,1124,51.4,577,16.5,146,18.8,66,9.6,108,9.3,104
FL,Duval,12031000600,Yes,4988,23.2,1159,2.6,128,3.9,87,4.7,236,3.5,176
FL,Duval,12031001600,Yes,1672,56.9,951,35.1,598,25.6,181,20.2,338,8.2,138
FL,Duval,12031002500,Yes,8075,12.9,1038,3.2,259,2.6,91,3.8,305,1.2,94
FL,Duval,12031002600,Yes,4475,77.4,3465,34.9,1559,23.4,341,32.1,1434,7.9,353
FL,Duval,12031002701,Yes,3699,78.5,2905,24.1,846,21.1,262,25.7,950,9.6,357
FL,Duval,12031002702,Yes,4110,100,4110,24.5,999,16.1,234,33.6,1379,8.8,363
FL,Duval,12031002801,Yes,5481,61,3341,14.2,776,12,250,16.2,887,9.3,510
FL,Duval,12031002802,Yes,4983,100,4983,35.3,1765,34.3,674,28,1393,17.9,891
FL,Duval,12031002902,Yes,4211,100,4211,26,1089,23.2,381,28.9,1218,16.5,694
FL,Duval,12031010201,Yes,4561,32.2,1470,2.6,119,2,36,8,363,3.7,171
FL,Duval,12031010800,Yes,5689,100,5689,21.3,1208,13.7,281,26.9,1528,12.7,723
FL,Duval,12031011300,Yes,3531,52.3,1846,11.7,408,8.3,106,15.5,546,5,177
FL,Duval,12031011600,Yes,4254,39.6,1686,10.9,462,12.3,204,12.3,522,6.9,295
FL,Duval,12031011800,Yes,3204,19.5,624,2.5,80,1.2,15,4.3,138,2.6,84
FL,Duval,12031013200,Yes,2826,65.7,1856,11.5,201,1.9,9,18.8,531,1.7,48
FL,Duval,12031013402,Yes,5515,56.1,3096,9.8,539,6.7,147,17,937,4.1,228
FL,Duval,12031013721,Yes,2997,87.2,2614,7.3,212,3.2,36,27.2,816,6.2,185
FL,Duval,12031013800,Yes,5455,100,5455,7.4,184,2.5,17,21.5,1172,0.7,38
FL,Duval,12031013901,Yes,5338,63.6,3396,3.6,189,2,34,24.2,1291,1.5,83
FL,Duval,12031014500,Yes,4092,86.9,3555,10.3,420,5.7,91,23,942,8.7,357
FL,Escambia,12033000300,Yes,3131,80.2,2511,27.5,811,10.7,136,20.8,651,14.1,440
FL,Escambia,12033001401,Yes,5481,63.2,3464,17.6,347,9.2,61,5.5,300,0.5,28
FL,Escambia,12033001402,Yes,6081,100,6081,18.5,1076,7.6,189,22.3,1359,17.2,1047
FL,Escambia,12033001700,Yes,3156,41.3,1305,19.7,610,12.2,148,21,664,3.7,118
FL,Escambia,12033002100,Yes,5233,32.8,1715,8.2,425,4.7,101,7.9,413,4.6,243
FL,Escambia,12033002200,Yes,4061,35.4,1436,7.9,319,6.8,116,7.2,293,6.5,262
FL,Escambia,12033002702,Yes,7978,42.9,3419,7.4,587,3.9,123,12.2,971,4.3,347
FL,Escambia,12033002900,Yes,4155,12.7,528,2.1,88,1.5,27,2.2,90,3,123
FL,Escambia,12033003100,Yes,4887,100,4887,24.4,1177,8.4,135,34.6,1693,9.4,460
FL,Escambia,12033003201,Yes,4846,100,4846,23.3,1128,7.3,133,25.9,1257,14.3,694
FL,Escambia,12033003400,Yes,4642,36.7,1706,7.9,362,1.7,33,8.5,394,5,231
FL,Escambia,12033004000,Yes,5062,90.4,4577,24.4,856,14.2,195,19,963,9.8,498
FL,Glades,12043000200,No,5669,10.9,616,1.8,101,0.5,10,2.7,151,1.5,83
FL,Hamilton,12047980200,No,4024,25.6,1031,6.4,255,1.8,27,6.1,245,3.4,136
FL,Hamilton,12047980300,No,1733,80.6,1398,21.7,371,9.7,68,22.9,396,10.7,185
FL,Hardee,12049970300,No,7931,12.6,998,0.7,48,0.1,1,0.4,31,0.1,10
FL,Hendry,12051000300,No,6926,9.1,632,1.8,122,0.2,3,2.5,176,0.9,62
FL,Hendry,12051000500,No,4003,91.7,3672,20.8,629,3.9,33,22.6,905,4,160
FL,Hendry,12051940100,No,142,100,142,36.8,50,0,0,36.6,52,9.9,14
FL,Hernando,12053040400,Yes,3375,43.6,1471,5.4,181,4.1,64,6.3,213,24.3,819
FL,Hernando,12053040500,Yes,6767,24.9,1682,5.4,340,2.9,81,6.7,451,4.3,294
FL,Hernando,12053040800,Yes,6910,50,3454,3.6,246,3.1,111,5.4,373,26.3,1818
FL,Hernando,12053041002,Yes,6026,69.6,4194,7.5,450,3.5,83,16,961,17.1,1028
FL,Hernando,12053041101,Yes,5612,100,5612,8,450,5.8,141,17.3,971,34,1908
FL,Hernando,12053041201,Yes,2586,89.7,2320,14.5,379,4.3,47,16,413,26,673
FL,Hernando,12053041202,Yes,6603,58.5,3863,9.5,620,3.4,99,12.3,812,18.1,1193
FL,Hernando,12053041302,Yes,2566,44.7,1146,2.9,73,3,34,8.7,224,12.3,316
FL,Hernando,12053041401,Yes,5396,85.6,4620,8.3,450,4.4,98,19,1024,21.5,1162
FL,Highlands,12055960800,Yes,2773,100,2773,21.7,534,16.4,159,23.4,649,16.7,463
FL,Highlands,12055961000,No,3987,29.6,1178,3.8,151,0.6,11,5.8,229,8.3,333
FL,Highlands,12055961100,Yes,3413,67.4,2300,9.6,300,17.2,284,9.9,339,28.7,978
FL,Highlands,12055961500,No,4791,14.6,699,3.2,150,0.7,16,3,144,4.4,210
FL,Highlands,12055961600,No,7365,9.8,724,2.1,151,0.3,9,2.6,193,1.3,98
FL,Hillsborough,12057000100,Yes,7754,33,2555,6.6,510,4.7,152,9.7,749,2,154
FL,Hillsborough,12057000300,Yes,7228,53.1,3837,9.3,676,3.2,85,14.2,1026,5.4,392
FL,Hillsborough,12057000401,Yes,2350,100,2350,17.6,415,8.8,78,28.8,677,11.1,262
FL,Hillsborough,12057000700,Yes,6308,29.1,1839,12.1,756,5,103,10.9,686,1.7,108
FL,Hillsborough,12057000800,Yes,3675,100,3675,21.1,769,7.8,103,33.1,1215,8.6,315
FL,Hillsborough,12057000900,Yes,6614,50.1,3315,10.3,676,8.7,258,13.7,905,5.9,389
FL,Hillsborough,12057001000,Yes,7372,28.6,2111,6.1,446,5,134,9.1,673,3.4,251
FL,Hillsborough,12057002600,Yes,2091,89.8,1878,19.3,324,22.7,164,21.1,441,5,105
FL,Hillsborough,12057003100,Yes,2498,35.8,894,11.2,281,9.3,76,12.8,319,4.3,108
FL,Hillsborough,12057003400,Yes,2388,100,2388,46.2,1123,39.2,363,34.7,829,12.9,309
FL,Hillsborough,12057003500,Yes,2398,38.3,918,13.8,329,6.6,58,11.8,283,5.5,132
FL,Hillsborough,12057003600,Yes,3753,25.1,941,8.1,302,4.3,51,8.3,310,2.4,89
FL,Hillsborough,12057003700,Yes,3137,46.5,1459,9.6,147,3.7,23,5.2,162,1.6,51
FL,Hillsborough,12057003800,Yes,1411,40.6,573,10.1,142,10,49,11.1,157,6.1,86
FL,Hillsborough,12057005300,Yes,2203,62.7,1381,15.9,352,6.1,46,14.5,320,9.2,203
FL,Hillsborough,12057010303,Yes,2703,100,2703,22.8,634,6.9,70,29.2,789,13.4,362
FL,Hillsborough,12057010500,Yes,7578,45.9,3477,8.8,660,4.3,124,15,1138,3.3,247
FL,Hillsborough,12057010803,Yes,7775,58,4509,17.1,1253,3.2,130,5.5,430,4.5,351
FL,Hillsborough,12057011003,Yes,4537,32.1,1458,4.9,222,2.5,54,6.1,279,1.2,55
FL,Hillsborough,12057011605,Yes,6043,23.7,1433,2.6,158,1.1,23,6.8,410,2.2,132
FL,Hillsborough,12057011804,Yes,5467,36.6,2002,9.5,513,3.5,62,13.5,738,2.7,148
FL,Hillsborough,12057011903,Yes,7625,70.4,5371,13.2,1005,7.9,252,15.5,1179,5,384
FL,Hillsborough,12057012002,Yes,3633,81.6,2963,13.2,479,9.9,124,25.1,911,6.5,238
FL,Hillsborough,12057012103,Yes,3760,100,3760,13.4,502,7.2,104,28.5,1073,7.4,278
FL,Hillsborough,12057012105,Yes,6238,16.5,1029,1.6,101,0.3,7,4.1,256,2.8,176
FL,Hillsborough,12057012403,Yes,3990,100,3990,25.1,1003,6,75,31,1238,7.6,304
FL,Hillsborough,12057013306,Yes,2233,40.8,912,6.1,131,1.4,14,11,246,1.8,40
FL,Hillsborough,12057013802,Yes,2565,40.5,1039,8.5,214,4.7,45,10.7,274,5.5,142
FL,Hillsborough,12057014108,Yes,4098,57.2,2343,8.7,366,4.2,63,14.7,601,9.5,390
FL,Holmes,12059960200,No,5003,57.2,2861,11.2,550,4.7,97,14.5,726,8.5,425
FL,Indian River,12061050302,Yes,5123,100,5123,29.6,1484,20,367,33.3,1706,10.7,549
FL,Lafayette,12067960100,No,2181,40.5,882,6.7,67,1.7,7,6.2,135,4.9,106
FL,Lake,12069030102,No,3276,55.2,1808,6.8,222,1,14,10.9,356,13.3,434
FL,Lake,12069030103,No,9361,5.7,534,1,96,0.2,6,1.4,134,0.9,85
FL,Lake,12069030303,Yes,7202,80.5,5794,7.5,534,3.2,110,13.3,957,30.8,2217
FL,Lake,12069030602,Yes,2640,63.3,1670,16.5,427,14,159,15.2,402,13.5,356
FL,Lee,12071000504,Yes,2605,87.9,2289,18.9,492,12.3,121,21.8,569,15.9,415
FL,Lee,12071000600,Yes,3747,25.4,951,9.5,354,7.9,103,9.9,371,2.6,98
FL,Lee,12071001100,Yes,6928,24.6,1701,6.4,433,6.5,189,5,345,3.9,271
FL,Lee,12071001201,Yes,4227,92.1,3893,11,378,3.8,62,20.1,849,4.3,183
FL,Lee,12071020102,Yes,4208,100,4208,14.1,593,3.9,82,11.9,500,48.3,2034
FL,Lee,12071020300,Yes,5827,88.5,5159,18.9,1082,6.6,155,23.7,1380,13.3,777
FL,Lee,12071020800,Yes,3988,57.5,2293,5.3,212,3.1,67,0.8,31,37.9,1512
FL,Lee,12071040301,Yes,2019,100,2019,15.7,312,3.9,23,36.9,745,4,80
FL,Lee,12071050102,Yes,3119,25.5,794,1.2,38,1.1,18,4.8,151,6.4,201
FL,Leon,12073001801,Yes,3643,29.2,1065,6.2,229,3.3,42,8.9,326,2,72
FL,Leon,12073001802,Yes,3466,29.7,1029,4.2,144,1.7,25,8.1,280,2.3,79
FL,Leon,12073001900,Yes,7070,100,7070,35.3,2378,16.5,483,26.8,1898,5.6,395
FL,Leon,12073002001,Yes,7392,13.9,1026,8.2,596,1.4,52,1.1,84,0.7,50
FL,Leon,12073002002,Yes,7912,30.5,2415,10.2,685,1.9,63,3.3,263,0.7,53
FL,Leon,12073002102,Yes,7557,21.3,1610,9.3,703,1.2,44,2.7,207,0.7,54
FL,Levy,12075970400,No,2992,56.2,1681,7.5,202,3,36,10.9,325,11.6,346
FL,Liberty,12077950200,No,5331,19.5,1040,4.3,169,1.1,16,3.1,163,1.4,74
FL,Madison,12079990200,No,3594,81.7,2936,17.7,605,13.6,184,22.7,815,12.2,439
FL,Manatee,12081000702,Yes,8995,18.3,1649,2.4,210,0.9,29,2.7,247,7.3,660
FL,Manatee,12081001908,Yes,4487,17.7,795,0.9,41,0.1,2,4.7,209,2.1,92
FL,Marion,12083000500,No,3437,68.9,2367,12.2,419,5.7,95,9.9,341,22.5,773
FL,Marion,12083000603,No,6029,13.1,788,3.3,196,0.8,19,3,181,2.2,133
FL,Marion,12083000800,Yes,12301,77.4,9516,8.2,996,2.3,127,13.9,1711,25,3073
FL,Marion,12083001204,Yes,4575,55.7,2550,8.8,398,3.1,50,16.5,753,12.3,564
FL,Marion,12083001401,Yes,4893,44.4,2172,7.1,347,3.5,68,12.7,622,5.4,264
FL,Marion,12083001402,Yes,4919,15.9,782,2,100,1.1,26,1.8,91,7.2,352
FL,Marion,12083001500,Yes,4196,64.9,2723,15.8,662,6,100,20.2,849,8.8,368
FL,Marion,12083001800,Yes,2079,32.8,682,14.6,290,10.3,78,10.8,225,5.4,111
FL,Martin,12085000800,Yes,2282,34.8,794,8.5,186,2.6,23,10.3,234,4.7,107
FL,Martin,12085001301,Yes,5113,73.6,3763,14.3,727,2.8,57,15.6,799,19.4,990
FL,Martin,12085001800,No,9313,7.7,716,2.2,180,0.9,22,1.8,165,0.9,84
FL,Miami-Dade,12086000401,Yes,9426,17.3,1631,4.5,405,3.5,106,4.6,436,3.1,291
FL,Miami-Dade,12086000501,Yes,6224,49.9,3105,7.9,423,3.9,59,13.5,843,1.9,119
FL,Miami-Dade,12086000502,Yes,10440,11.3,1181,1.7,172,1.6,53,3.4,356,0.7,68
FL,Miami-Dade,12086000503,Yes,6345,18,1143,7,443,5.7,115,6.1,389,1.4,90
FL,Miami-Dade,12086001203,Yes,7590,38.3,2905,12.6,950,5.2,146,10.5,799,3.2,244
FL,Miami-Dade,12086001301,Yes,5728,22.8,1306,7.4,424,6.9,160,4.8,274,1.7,97
FL,Miami-Dade,12086008303,Yes,8600,17.4,1493,3.7,312,1.7,46,5.2,451,1.7,150
FL,Miami-Dade,12086010500,Yes,5123,100,5123,42.2,2155,25.4,384,39.5,2023,7.1,363
FL,Miami-Dade,12086010703,Yes,7582,100,7582,23.2,1737,6.8,140,36.1,2740,6,455
FL,Miami-Dade,12086010800,Yes,8675,18.5,1602,9.2,789,5.5,136,8.8,762,0.8,66
FL,Miami-Dade,12086011100,Yes,12708,6.3,800,0.5,67,0.3,10,1.6,207,0.7,88
FL,Miami-Dade,12086011201,Yes,4703,40.3,1896,6,274,1,14,12.3,581,3.6,170
FL,Monroe,12087970100,No,60,100,60,0,0,0,0,5,3,1.7,1
FL,Okaloosa,12091020500,Yes,5472,92.5,5062,18.6,1013,7.6,162,26.7,1463,12.8,700
FL,Okaloosa,12091021400,Yes,7325,55.6,4075,2.2,163,0.5,10,23.7,1733,0.1,5
FL,Okaloosa,12091022600,Yes,2900,23.2,673,4.4,121,1.7,22,3.2,93,4.2,121
FL,Orange,12095011600,Yes,4780,28.1,1342,3.9,186,2.9,50,5.4,258,2.3,110
FL,Orange,12095011701,Yes,4298,25.5,1097,6.9,286,4.7,68,8,343,3.9,166
FL,Orange,12095011901,Yes,4647,87.7,4077,46.1,2074,26.2,416,37.9,1763,7.9,365
FL,Orange,12095011902,Yes,1069,100,1069,24.8,262,14.2,45,26.5,283,9.4,100
FL,Orange,12095012000,Yes,6637,24.5,1625,5.3,351,3,60,9,594,1.6,109
FL,Orange,12095013200,Yes,8339,30.8,2565,4.3,354,1.2,37,8,668,1.2,100
FL,Orange,12095014601,Yes,7362,58.1,4275,19.2,1414,11.2,251,23.5,1733,4.2,312
FL,Orange,12095015104,Yes,5396,39.6,2137,5.3,280,3.2,61,12.4,668,2.5,134
FL,Orange,12095016411,Yes,3560,82.5,2938,15.1,552,5.9,85,20.4,725,4.1,146
FL,Orange,12095016506,Yes,7712,65.7,5068,26.5,2041,3,101,5.8,445,1.3,102
FL,Orange,12095016508,Yes,7031,65.4,4597,12.5,851,3.2,78,18.2,1277,3.2,222
FL,Orange,12095016902,Yes,4753,63.1,3001,9.9,469,5.9,98,17.7,842,5.5,262
FL,Orange,12095016903,Yes,7777,25.6,1992,4.1,317,1.6,39,7.2,556,2,157
